House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Well Located Four Bedroom Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Rumuadaolu, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuadaolu/1702706-well-located-four-bedroom-bungalow
Magnificently Built Six Bedroom Detached Duplex With Bq,6 bedroom detached duplex for sale,Bluehedge Realtors,"Cocaine Estate, Port Harcourt, Rivers",+2348177766119,"₦160,000,000",6,6,7,7,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1708956-magnificently-built-six-bedroom-detached-duplex-with-bq
Luxurious And Tastefully Furnished State Of The Art 5 Bedroom Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Agip Estate, Port Harcourt, Rivers",+2348177766119,"₦220,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1725212-luxurious-and-tastefully-furnished-state-of-the-art-5-bedroom-duplex
Luxury And Tastefully Finished Five (5) Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦200,000,000",5,6,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1738224-luxury-and-tastefully-finished-five-5-bedroom-detached-duplex
Tastefully Finished 4 Bedroom Detached Bungalow With Gate House,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Rumurolu, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumurolu/1742479-tastefully-finished-4-bedroom-detached-bungalow-with-gate-house
Luxurious And Durably Built 2 Bedroom Detached Bungalow,2 bedroom detached bungalow for sale,Bluehedge Realtors,"Rumuahalu, Port Harcourt, Rivers",+2348177766119,"₦22,000,000",2,2,3,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuahalu/1744521-luxurious-and-durably-built-2-bedroom-detached-bungalow
Magnificiently Built 6 Units Of 3 Bedroom Apartment,3 bedroom block of flats for sale,Bluehedge Realtors,"Iwofe Road, Port Harcourt, Rivers",+2348177766119,"₦180,000,000",3,3,4,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1770158-magnificiently-built-6-units-of-3-bedroom-apartment
Well Located Three (3) Bedroom Detached Duplex,3 bedroom detached duplex for sale,Bluehedge Realtors,"Off Nta Road, Rumuoparali, Port Harcourt, Rivers",+2348177766119,"₦35,000,000",3,3,4,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuoparali/1770165-well-located-three-3-bedroom-detached-duplex
Newly Built 3 Bedroom Bungalow With Bq,3 bedroom detached bungalow for sale,Aito Properties Ltd,"Rumuekini, Port Harcourt, Rivers",09060587316,"₦25,000,000",3,4,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuekini/1706547-newly-built-3-bedroom-bungalow-with-bq
Brand New 5 Bedroom Duplex,5 bedroom detached duplex for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦60,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/ozuoba/1712067-brand-new-5-bedroom-duplex
Exquisitely Finished 4 Bedroom Duplex,4 bedroom detached duplex for sale,Aito Properties Ltd,"Nta- Apara Link Road, Port Harcourt, Rivers",09060587316,"₦65,000,000",4,4,5,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1715015-exquisitely-finished-4-bedroom-duplex
Brand New 4 Bedroom Duplex In A Serene Environment,4 bedroom detached duplex for sale,Aito Properties Ltd,"Ada George Road, Port Harcourt, Rivers",09060587316,"₦55,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1720865-brand-new-4-bedroom-duplex-in-a-serene-environment
Prime 4 Bedroom Bungalow In A Decent Environment,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Off Nta Road, Port Harcourt, Rivers",09060587316,"₦50,000,000",4,4,5,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1725283-prime-4-bedroom-bungalow-in-a-decent-environment
Super Luxury 9 Bedroom Mansion In A Serene Environment,9 bedroom detached duplex for sale,Aito Properties Ltd,"Tombia Extension, GRA Phase 3, Port Harcourt, Rivers",09060587316,"₦350,000,000",9,8,"1,395",,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-3/1729982-super-luxury-9-bedroom-mansion-in-a-serene-environment
4 Bedroom Duplex With Bq In A Prime Estate (carcass),4 bedroom semi-detached duplex for sale,Aito Properties Ltd,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦110,000,000",4,4,5,3,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/eliozu/1739196-4-bedroom-duplex-with-bq-in-a-prime-estate-carcass
Well Finished 3 Bedroom Duplex In A Prime Estate,3 bedroom terraced duplex for sale,Aito Properties Ltd,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦85,000,000",3,3,4,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/eliozu/1754235-well-finished-3-bedroom-duplex-in-a-prime-estate
4 Bedroom Bungalow With Security House,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Akwaka, Rumuodomaya, Port Harcourt, Rivers",09060587316,"₦30,000,000",4,4,5,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuodomaya/1764749-4-bedroom-bungalow-with-security-house
Smart 4 Bedroom Duplex In A Beautiful Estate,4 bedroom semi-detached duplex for sale,Aito Properties Ltd,"Shell Cooperative, Eliozu, Port Harcourt, Rivers",09060587316,"₦90,000,000",4,4,5,4,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/eliozu/1770138-smart-4-bedroom-duplex-in-a-beautiful-estate
Luxury 5 Bedroom Duplex In A Prime Estate,5 bedroom detached duplex for sale,Aito Properties Ltd,"Pearl Gardens Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦180,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1768662-luxury-5-bedroom-duplex-in-a-prime-estate
Block Of 4 Nos. 2 Bedroom Flat (roofed),Block of flats for sale,Ade Afolabi & Associates,"Areta Layout, Back Of Nnpc Quarters, Rumuokwurusi, Port Harcourt, Rivers",08099748631,"₦100,000,000","2,088",,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuokwurusi/1039890-block-of-4-nos-2-bedroom-flat-roofed
Luxury 4 Bedroom Fully Detached Plus Bq & 2 Units 3 Bedroom Flats,10 bedroom detached duplex for sale,Ascsl,"Ohiamini Street, GRA Phase 3, Port Harcourt, Rivers",08060543071,"₦100,000,000",10,10,13,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-3/1512521-luxury-4-bedroom-fully-detached-plus-bq-2-units-3-bedroom-flats
Newly Built 4 Bedroom Duplex In A Serene Environment,4 bedroom detached duplex for sale,Aito Properties Ltd,"Woji, Port Harcourt, Rivers",09060587316,"₦85,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1599786-newly-built-4-bedroom-duplex-in-a-serene-environment
Superb 5 Bedroom Duplex With Bq,5 bedroom detached duplex for sale,Aito Properties Ltd,"Unity Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦120,000,000",5,5,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1761087-superb-5-bedroom-duplex-with-bq
Modern 4 Bedroom Bungalow In A Beautiful Neighborhood,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Eneka, Port Harcourt, Rivers",09060587316,"₦30,000,000",4,4,5,8,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1638383-modern-4-bedroom-bungalow-in-a-beautiful-neighborhood
Well Finished 4 Bedroom Bungalow In A Lively Neighborhood,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Rukpokwu, Port Harcourt, Rivers",09060587316,"₦45,000,000",4,4,5,6,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1670288-well-finished-4-bedroom-bungalow-in-a-lively-neighborhood
5 Bedroom Duplex In A Nice Location,5 bedroom detached duplex for sale,Aito Properties Ltd,"Rumuagholu, Port Harcourt, Rivers",09060587316,"₦85,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1757361-5-bedroom-duplex-in-a-nice-location
Luxury 5 Bedroom,5 bedroom detached bungalow for sale,Newyork Homes,"Port Harcourt, Rivers",08032709251,"₦35,000,000",5,5,6,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1763906-luxury-5-bedroom
Standard 4 Bedroom Duplex With Bq In A Secured Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Reserve Golf Estate, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦85,000,000",4,4,5,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1587492-standard-4-bedroom-duplex-with-bq-in-a-secured-estate
Income Property: Newly Built 4 Units Of 2 Bedroom Apartments,8 bedroom block of flats for sale,Aito Properties Ltd,"Radio Estate, Nta Road, Port Harcourt, Rivers",09060587316,"₦80,000,000",8,8,12,698,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1698397-income-property-newly-built-4-units-of-2-bedroom-apartments
Contemporary 4 Bedroom Bungalow In A Nice Location,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Sars Road, Port Harcourt, Rivers",09060587316,"₦45,000,000",4,4,5,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1699487-contemporary-4-bedroom-bungalow-in-a-nice-location
5 Bedrooms Duplex In An Elite Estate,5 bedroom detached duplex for sale,Aito Properties Ltd,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦200,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1739782-5-bedrooms-duplex-in-an-elite-estate
Contemporary 4 Bedroom Duplex In A Prime Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",09060587316,"₦190,000,000",4,5,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1753058-contemporary-4-bedroom-duplex-in-a-prime-estate
Lucrative 8 Flats Income Property,Block of flats for sale,Aito Properties Ltd,"Sars Road, Rukpokwu, Port Harcourt, Rivers",09060587316,"₦85,000,000",930,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rukpokwu/1762143-lucrative-8-flats-income-property
Sunville Pearl 4 Bedroom Semi Detached Duplex,4 bedroom semi-detached duplex for sale,Chyglosco Homes,"Gidi Street, Panama Estate,peter Odili, Port Harcourt, Rivers",09025567055,"₦70,000,000",4,,,,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/1653219-sunville-pearl-4-bedroom-semi-detached-duplex
Magnificient And Durably Built 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Cornerstone Off Nta Road/ Uzuoba, Port Harcourt, Rivers",+2348177766119,"₦50,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1743501-magnificient-and-durably-built-5-bedroom-detached-duplex
1 Plot Of Land With 3 Bedroom Flat And 2 Self-contains And Space,3 bedroom detached bungalow for sale,O'county,"Omuigwe, Aluu, Close To Airport, Ikwerre, Rivers",08038350584,"₦12,000,000",3,3,4,3,https:/for-sale/houses/detached-bungalows/rivers/ikwerre/1747996-1-plot-of-land-with-3-bedroom-flat-and-2-self-contains-and-space
Luxury 5 Bedrooms Duplex Smart Home With Excellent Facilities,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Royal Avenue Estate, Port Harcourt, Rivers",08032662547,"₦200,000,000",5,6,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1672473-luxury-5-bedrooms-duplex-smart-home-with-excellent-facilities
Distress 4 Bedroom Duplex With Extra Excellent Finishing,4 bedroom semi-detached duplex for sale,Odinga E Property Ltd,"5th Avenue, Rumuibekwe, Port Harcourt, Rivers",08032662547,"₦51,000,000",4,5,5,3,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/rumuibekwe/1689115-distress-4-bedroom-duplex-with-extra-excellent-finishing
Super Luxurious 6 Bedroom Duplex Fully Furnished,6 bedroom detached duplex for sale,Odinga E Property Ltd,"Royal Avenue Estate, Trans Amadi, Port Harcourt, Rivers",08032662547,"₦170,000,000",6,7,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1689123-super-luxurious-6-bedroom-duplex-fully-furnished
4 Bedroom Duplex And 2 Units Of 2 Bedroom Luxurious Flat,4 bedroom detached duplex for sale,Odinga E Property Ltd,"Golf Estate, Port Harcourt, Rivers",08032662547,"₦73,000,000",4,5,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1689144-4-bedroom-duplex-and-2-units-of-2-bedroom-luxurious-flat
Brand New Tastefully Finished Luxury 4 Bedrooms Duplex,4 bedroom detached duplex for sale,Odinga E Property Ltd,"Royal Avenue Estate, Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08032662547,"₦80,000,000",4,5,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1695590-brand-new-tastefully-finished-luxury-4-bedrooms-duplex
Super Luxury 5 Bedroom Duplex In Highbrow Neighbourhood,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Agip Estate, Port Harcourt, Rivers",08032662547,"₦200,000,000",5,6,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1695579-super-luxury-5-bedroom-duplex-in-highbrow-neighbourhood
Luxury Twin 3 Bedrooms Duplex In A Cozy Area,3 bedroom detached duplex for sale,Chyglosco Homes,"East West Road, Before The First Nnpc Filling Station, Port Harcourt, Rivers",09025567055,"₦60,000,000",3,,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1746239-luxury-twin-3-bedrooms-duplex-in-a-cozy-area
Newly Built Block Of Flats,5 bedroom block of flats for sale,Alnorac,"By Police Post, Eliozu, Port Harcourt, Rivers",+2348136454243,"₦40,000,000",5,5,6,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eliozu/1731055-newly-built-block-of-flats
Exquisitely Finished And Spacious 4 Bedroom Detached Bungalow With Bq,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Woji, Port Harcourt, Rivers",+2348177766119,"₦65,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/woji/1742503-exquisitely-finished-and-spacious-4-bedroom-detached-bungalow-with-bq
Magnificently Built And Luxuriously Furnished 4 Bedroom Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦155,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1565112-magnificently-built-and-luxuriously-furnished-4-bedroom-duplex
2 Bedroom Flat And 5 Studio Apartments,7 bedroom block of flats for sale,Aito Properties Ltd,"Alakahia, Port Harcourt, Rivers",09060587316,"₦24,000,000",7,7,7,5,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1744279-2-bedroom-flat-and-5-studio-apartments
Uncompleted 5 Bedroom Detached Duplex With Bq In Secured Estate,5 bedroom detached duplex for sale,Scalozie Global Services,"Naf Harmony Estate Off Eliozu Airforce Link Road, Port Harcourt, Rivers",08030894616,"₦130,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1359736-uncompleted-5-bedroom-detached-duplex-with-bq-in-secured-estate
Uncompleted 5 Bedroom Detached Duplex With Bq In A Secured Estate,5 bedroom detached duplex for sale,Scalozie Global Services,"Naf Harmony Estate Off Eliozu Airforce Link Road, Port Harcourt, Rivers",08030894616,"₦135,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1359740-uncompleted-5-bedroom-detached-duplex-with-bq-in-a-secured-estate
6 Units Of Luxury 4 Bedroom Duplex,4 bedroom terraced duplex for sale,Odinga E Property Ltd,"Stadium Road, Port Harcourt, Rivers",08032662547,"₦260,000,000",4,5,5,16,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1366223-6-units-of-luxury-4-bedroom-duplex
Smart 4 Bedroom Duplex In A Planned Estate,4 bedroom terraced duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦65,000,000",4,4,5,3,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1738050-smart-4-bedroom-duplex-in-a-planned-estate
Beautiful 4 Bedroom Duplex In A Gated Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦75,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1738034-beautiful-4-bedroom-duplex-in-a-gated-estate
Luxury 5 Bedroom Duplex With Pent House,5 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦200,000,000",5,5,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1738008-luxury-5-bedroom-duplex-with-pent-house
Luxuriously Furnished 5 Bedrooms Detached Duplex,5 bedroom detached duplex for sale,Life Hedge Resources,"Agip Estate, Port Harcourt, Rivers",08057258957,"₦200,000,000",5,5,6,7,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1737627-luxuriously-furnished-5-bedrooms-detached-duplex
2 Units Of 2 Bedroom & 1 Bedroom Flats In A Gated /secured Estate,6 bedroom block of flats for sale,Aito Properties Ltd,"Nta Road, Rumuokwuota, Port Harcourt, Rivers",09060587316,"₦24,000,000",6,6,9,6,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuokwuota/1399421-2-units-of-2-bedroom-1-bedroom-flats-in-a-gated-secured-estate
Classic 4 Bedroom Fully Detached Duplex,4 bedroom detached duplex for sale,Gerrymandy Realtors,"Gold Spring Estate Ordu Street Eliowhani, Off East West Road, Port Harcourt, Rivers",07065523304,"₦80,000,000",4,4,5,2,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1650918-classic-4-bedroom-fully-detached-duplex
Classic 5 Bedroom Fully Detached Duplex,5 bedroom detached duplex for sale,Gerrymandy Realtors,"Gold Spring Estate, Ordu Street Eliohwani, Off East West Road, Port Harcourt, Rivers",07065523304,"₦95,000,000",5,5,6,2,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1650941-classic-5-bedroom-fully-detached-duplex
Tastefully Finished 4 Bedroom Duplex,4 bedroom detached duplex for sale,Aito Properties Ltd,"Egbelu- St John's Road, Port Harcourt, Rivers",09060587316,"₦45,000,000",4,4,5,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1726134-tastefully-finished-4-bedroom-duplex
